
Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
51,Ben DiNucci,DAL,24,qb,3,1,0-1-0,23,43,53.5,219,0,0.0,0,0.0,11,32,5.1,5.1,9.5,73.0,67.9,13.5,7,73,2.92,2.92,14.0,,
52,Mason Rudolph,PIT,25,qb,5,1,0-1-0,25,43,58.1,324,2,4.7,1,2.3,13,47,7.5,7.4,13.0,64.8,87.7,77.8,1,8,7.18,7.07,2.3,,
53,Brett Rypien,DEN,24,qb,3,1,1-0-0,27,40,67.5,295,2,5.0,4,10.0,12,48,7.4,3.9,10.9,98.3,66.1,57.8,1,0,7.20,3.78,2.4,1,1
54,Garrett Gilbert,DAL,29,qb,1,1,0-1-0,21,38,55.3,243,1,2.6,1,2.6,10,32,6.4,5.7,11.6,243.0,72.6,63.9,2,23,5.50,4.88,5.0,,
55,Chad Henne,KAN,35,qb,3,1,0-1-0,28,38,73.7,248,2,5.3,0,0.0,15,37,6.5,7.6,8.9,82.7,108.2,32.7,2,4,6.10,7.10,5.0,,
56,John Wolford,LAR,25,qb,1,1,1-0-0,22,38,57.9,231,0,0.0,1,2.6,14,38,6.1,4.9,10.5,231.0,64.7,74.7,2,8,5.58,4.45,5.0,,
57,Ryan Finley,CIN,26,qb,5,1,1-0-0,17,32,53.1,164,1,3.1,2,6.3,8,30,5.1,2.9,9.6,32.8,52.1,49.3,9,63,2.46,0.76,22.0,,
58,Tyrod Taylor,LAC,31,qb,2,1,1-0-0,16,30,53.3,208,0,0.0,0,0.0,10,37,6.9,6.9,13.0,104.0,75.4,21.3,2,1,6.47,6.47,6.3,1,1
59,Marcus Mariota,LVR,27,,1,0,,17,28,60.7,226,1,3.6,1,3.6,11,35,8.1,7.2,13.3,226.0,83.3,98.1,0,0,8.07,7.18,0.0,,
60,Brian Hoyer,NWE,35,qb,1,1,0-1-0,15,24,62.5,130,0,0.0,1,4.2,8,25,5.4,3.5,8.7,130.0,59.4,28.0,2,18,4.31,2.58,7.7,,
61,Matt Barkley,BUF,30,,5,0,,11,21,52.4,197,1,4.8,1,4.8,9,56,9.4,8.2,17.9,39.4,80.9,34.1,1,7,8.64,7.50,4.5,,
62,Taylor Heinicke,WAS,27,,1,0,,12,19,63.2,137,1,5.3,0,0.0,21,29,7.2,8.3,11.4,137.0,102.3,48.3,1,7,6.50,7.50,5.0,,
63,Blaine Gabbert,TAM,31,,4,0,,9,16,56.3,143,2,12.5,0,0.0,5,35,8.9,11.4,15.9,35.8,125.8,60.9,1,7,8.00,10.35,5.9,,
64,Chris Streveler,ARI,25,,5,0,,11,16,68.8,105,1,6.3,1,6.3,5,19,6.6,5.0,9.5,21.0,81.5,36.1,2,10,5.28,3.89,11.1,,
65,Robert Griffin III,BAL,30,qb,4,1,0-1-0,8,14,57.1,42,0,0.0,2,14.3,1,9,3.0,-3.4,5.3,10.5,22.6,25.4,3,20,1.29,-4.00,17.6,,
66,Nate Sudfeld,PHI,27,,1,0,,5,12,41.7,32,0,0.0,1,8.3,1,10,2.7,-1.1,6.4,32.0,14.6,2.4,2,16,1.14,-2.07,14.3,,
67,Jameis Winston,NOR,26,,4,0,,7,11,63.6,75,0,0.0,0,0.0,5,19,6.8,6.8,10.7,18.8,83.5,15.5,2,11,4.92,4.92,15.4,,
68,David Blough,DET,25,,1,0,,6,10,60.0,49,0,0.0,1,10.0,1,20,4.9,0.4,8.2,49.0,32.9,14.1,1,10,3.55,-0.55,9.1,,
69,Case Keenum,CLE,32,,2,0,,5,10,50.0,46,0,0.0,0,0.0,2,24,4.6,4.6,9.2,23.0,62.9,41.7,0,0,4.60,4.60,0.0,,
70,Trace McSorley,BAL,25,,2,0,,3,10,30.0,90,1,10.0,0,0.0,2,70,9.0,11.0,30.0,45.0,97.9,35.0,0,0,9.00,11.00,0.0,,
71,Kendall Hinton,DEN,23,,1,0,,1,9,11.1,13,0,0.0,2,22.2,1,13,1.4,-8.6,13.0,13.0,0.0,0.1,1,1,1.20,-7.80,10.0,,
72,Jacoby Brissett,IND,28,,11,0,,2,8,25.0,17,0,0.0,0,0.0,1,13,2.1,2.1,8.5,1.5,39.6,66.2,2,15,0.20,0.20,20.0,,
73,Tyler Bray,CHI,29,,1,0,,1,5,20.0,18,0,0.0,0,0.0,1,18,3.6,3.6,18.0,18.0,42.1,9.9,0,0,3.60,3.60,0.0,,
74,Joshua Dobbs,PIT,25,,1,0,,4,5,80.0,2,0,0.0,0,0.0,0,3,0.4,0.4,0.5,2.0,79.2,55.5,0,0,0.40,0.40,0.0,,
75,Tyler Huntley,BAL,22,,2,0,,3,5,60.0,15,0,0.0,0,0.0,0,8,3.0,3.0,5.0,7.5,64.6,2.0,0,0,3.00,3.00,0.0,,
76,Nathan Peterman,LVR,26,,1,0,,3,5,60.0,25,0,0.0,0,0.0,1,12,5.0,5.0,8.3,25.0,72.9,30.4,2,16,1.29,1.29,28.6,,
77,Geno Smith,SEA,30,,1,0,,4,5,80.0,33,0,0.0,0,0.0,3,14,6.6,6.6,8.3,33.0,94.2,5.2,1,3,5.00,5.00,16.7,,
78,Jarvis Landry,CLE,28,WR,15,14,,4,4,100.0,74,1,25.0,0,0.0,4,37,18.5,23.5,18.5,4.9,158.3,100.0,0,0,18.50,23.50,0.0,,
79,Logan Woodside,TEN,25,,6,0,,1,3,33.3,7,0,0.0,0,0.0,1,7,2.3,2.3,7.0,1.2,42.4,73.1,0,0,2.33,2.33,0.0,,
80,Lynn Bowden Jr.,MIA,23,rb,10,4,,1,2,50.0,32,0,0.0,0,0.0,1,32,16.0,16.0,32.0,3.2,95.8,40.4,0,0,16.00,16.00,0.0,,
