Learn_1,Learn_2,Learn_3,Learn_4,Feel_1,Feel_2,Feel_3,Feel_4,Past_1,Past_2,Past_3,Past_4,Past2_1,Gender,Class,Learn2_1,Learn2_2,Learn2_3,Learn2_4
3,5,7,6,6,7,5,7,3,4,3,4,6,2,2,59,78,95,53
4,4,3,6,2,6,6,6,4,4,4,4,6,1,2,30,50,60,50
3,3,7,3,5,3,4,1,4,2,3,2,7,2,2,,,100,
4,4,5,5,2,6,4,5,2,2,1,2,6,1,2,50,39,70,60
6,6,5,6,3,6,4,3,2,3,4,3,13,2,2,60,100,50,91
7,7,2,7,5,7,7,7,3,1,2,2,7,1,2,100,100,10,100
4,4,5,5,4,4,4,4,3,3,3,3,7,1,2,50,50,50,50
6,7,4,7,2,6,6,4,2,2,2,2,6,1,2,70,83,59,92
6,6,5,6,4,5,5,5,4,2,2,2,7,2,2,62,65,50,64
6,6,3,5,4,7,6,6,3,2,2,2,6,1,2,61,71,19,70
1,7,7,7,2,3,3,2,2,1,1,2,8,1,2,5,100,100,100
5,7,6,7,7,7,4,4,3,3,2,3,12,1,2,75,90,100,100
5,6,6,6,4,4,4,4,3,3,4,2,7,2,2,80,70,70,90
6,6,5,7,3,6,5,5,2,2,2,2,7,2,2,80,71,70,91
7,7,5,7,1,7,5,6,1,1,2,2,8,2,2,90,79,59,89
4,4,6,7,4,5,4,3,3,2,2,3,6,1,2,50,50,70,90
2,5,5,6,2,4,4,4,3,3,2,2,7,2,2,60,81,70,100
6,6,7,5,1,4,3,1,2,1,2,3,6,1,2,83,91,100,75
6,6,3,6,2,5,6,6,3,3,4,2,,1,2,80,90,10,85
6,6,3,7,3,6,5,5,1,1,1,1,,2,1,90,90,45,100
5,5,4,6,4,5,5,4,3,3,4,3,5,1,2,60,60,50,81
5,5,4,7,6,6,4,4,2,3,3,1,9,1,2,71,70,50,100
7,7,6,7,4,6,5,4,3,3,2,2,4,2,1,60,60,70,80
6,6,6,6,6,7,6,6,3,1,4,3,5,1,2,70,70,80,70
5,5,6,6,3,5,4,4,3,3,2,2,8,2,2,73,81,93,91
5,4,3,5,5,6,5,6,3,3,4,4,6,2,1,65,54,74,82
5,7,7,5,4,6,6,6,4,4,4,4,,1,2,49,63,64,68
5,7,7,7,4,7,6,7,4,4,4,4,3,1,2,49,50,50,49
7,6,7,6,6,6,5,5,2,2,2,2,,1,2,80,65,100,87
7,7,7,7,3,7,6,7,2,2,3,3,5,1,1,77,78,89,85
5,6,2,6,4,6,5,5,2,2,3,1,7,2,1,50,60,29,85
