State,Cases,New_Cases,Deaths,CasesNow,Cases1M,Deaths1M,Tests,Tests1M,Population
California,3687552,1982,59968,1666209,93327,1518,55483634,1404214,39512223 
Texas,2818988,4041,49138,96255,97220,1695,26273311,906105,28995881 
Florida,2096747,5885,33844,463863,97624,1576,25919271,1206797,21477737 
New York,1968112,7443,51120,685675,101170,2628,46414834,2385930,19453561 
Illinois,1265457,3790,23702,71782,99864,1870,20818451,1642893,12671821 
Georgia,1068199,1528,19305,289652,100608,1818,8418164,792863,10617423 
Pennsylvania,1060102,4604,25395,85839,82808,1984,11977359,935586,12801989 
Ohio,1030864,2064,18741,35512,88190,1603,11188672,957188,11689100 
New Jersey,937979,4243,24749,200788,105602,2786,12372244,1392927,8882190 
North Carolina,924810,1380,12212,24874,88177,1164,11558263,1102038,10488084 
Arizona,846230,750,17023,17573,116261,2339,4551750,625351,7278717 
Tennessee,819505,1497,11976,12813,120001,1754,7312280,1070741,6829174 
Michigan,795492,9369,17373,200978,79654,1740,12357163,1237343,9986857 
Indiana,693452,1212,13099,20563,103005,1946,9078051,1348449,6732219 
Massachusetts,650573,2550,17358,35075,94388,2518,19431439,2819214,6892503 
Virginia,629155,1550,10415,566629,73710,1220,8595855,1007069,8535519 
Wisconsin,581797,727,6653,7959,99923,1143,3338154,573326,5822434 
Missouri,581164,817,9196,117009,94692,1498,6361805,1036559,6137428 
South Carolina,558631,828,9213,,108499,1789,6912426,1342554,5148714 
Minnesota,532658,1996,6976,15848,94449,1237,8430709,1494904,5639632 
Alabama,517452,338,10652,186219,105534,2172,2554932,521076,4903185 
Colorado,472167,1913,6285,118421,81991,1091,2766845,480460,5758736 
Louisiana,447655,700,10185,7535,96295,2191,6626108,1425339,4648794 
Oklahoma,441906,142,4953,12249,111678,1252,3821267,965705,3956971 
Kentucky,430860,1019,6198,374540,96439,1387,5124328,1146979,4467673 
Maryland,420526,1471,8389,402184,69558,1388,8966009,1483044,6045680 
Utah,388426,612,2139,8975,121158,667,4323919,1348714,3205958 
Iowa,383502,776,5836,41549,121551,1850,4534446,1437193,3155070 
Washington,373548,,5351,186854,49055,703,6061236,795971,7614893 
Arkansas,331505,244,5660,1696,109850,1876,3420274,1133365,3017804 
Connecticut,318767,1038,7935,34236,89409,2226,7906531,2217642,3565287 
Mississippi,306611,270,7077,3965,103023,2378,2633209,884771,2976149 
Nevada,305929,277,5308,16849,99323,1723,2992025,971387,3080156 
Kansas,305489,,4959,8477,104860,1702,1326785,455421,2913314 
Nebraska,212785,528,2183,45922,110000,1129,1013210,523783,1934408 
New Mexico,192989,216,3963,14617,92039,1890,3058694,1458724,2096829 
Idaho,182531,349,1980,78306,102140,1108,1208638,676326,1787065 
Oregon,168128,470,2434,15348,39862,577,4285327,1016025,4217737 
West Virginia,144374,364,2722,6897,80559,1519,2508198,1399549,1792147 
Rhode Island,140025,476,2635,128968,132179,2487,3635191,3431494,1059361 
South Dakota,118975,295,1938,2511,134487,2191,449621,508242,884659 
Montana,105526,193,1489,946,98735,1393,1220629,1142079,1068778 
North Dakota,104167,193,1468,1171,136691,1926,419193,550077,762062 
Delaware,97042,236,1567,7327,99657,1609,669457,687494,973764 
New Hampshire,86935,425,1250,3387,63936,919,1942740,1428789,1359711 
Alaska,61695,215,309,7773,84335,422,1940865,2653104,731545 
Wyoming,56700,81,701,476,97968,1211,692087,1195812,578759 
Maine,52677,401,747,,39188,556,2131574,1585742,1344212 
District Of Columbia,45328,94,1076,12115,64227,1525,1405378,1991328,705749 
Hawaii,30363,76,467,,21445,330,1305218,921847,1415872 
Vermont,20442,69,230,3417,32760,369,1392722,2231966,623989
